hood_id,accnum
1.0,427
2.0,106
3.0,82
4.0,74
5.0,19
6.0,78
7.0,70
8.0,39
9.0,46
10.0,37
11.0,73
12.0,36
13.0,26
14.0,241
15.0,21
16.0,88
17.0,149
18.0,57
19.0,32
20.0,51
21.0,90
22.0,77
23.0,75
24.0,51
25.0,105
26.0,180
27.0,180
28.0,22
29.0,15
30.0,77
31.0,84
32.0,32
33.0,97
34.0,72
35.0,40
36.0,114
37.0,46
38.0,61
39.0,93
40.0,68
41.0,27
42.0,122
43.0,107
44.0,72
45.0,44
46.0,30
47.0,92
48.0,46
49.0,35
50.0,87
51.0,130
52.0,93
53.0,44
54.0,40
55.0,38
56.0,73
57.0,59
58.0,113
59.0,40
60.0,27
61.0,30
62.0,88
63.0,67
64.0,56
65.0,64
66.0,16
67.0,18
68.0,86
69.0,29
70.0,245
71.0,97
72.0,56
73.0,158
74.0,27
75.0,185
76.0,298
77.0,492
78.0,176
79.0,87
80.0,54
81.0,105
82.0,144
83.0,69
84.0,84
85.0,197
86.0,66
87.0,112
88.0,33
89.0,40
90.0,97
91.0,61
92.0,78
93.0,170
94.0,76
95.0,163
96.0,71
97.0,44
98.0,83
99.0,54
100.0,48
101.0,38
102.0,40
103.0,55
104.0,78
105.0,18
106.0,44
107.0,77
108.0,51
109.0,54
110.0,118
111.0,117
112.0,47
113.0,74
114.0,9
115.0,38
116.0,106
117.0,139
118.0,164
119.0,225
120.0,193
121.0,49
122.0,82
123.0,54
124.0,129
125.0,33
126.0,108
127.0,159
128.0,118
129.0,141
130.0,191
131.0,214
132.0,157
133.0,57
134.0,25
135.0,29
136.0,98
137.0,277
138.0,90
139.0,69
140.0,18
